latitude_dd,longitude_dd,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,siteNotes,latitude,longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_types,hwm_qualities,marker,vertical_datums,approval,event,site,peak_summary,files,horizontal_datums,horizontal_collect_methods,vertical_collect_methods,survey_member,flag_member,Links,wind
40.7097,-73.9953,Sandy,Seed line,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07508,,,,NY,New York County,,Yes,,40.7097,-73.9953,6356,,7508,24,5,3,seed and mud line on outside wall of building,,11.2,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7108,-73.9781,Sandy,Debris,Poor: +/- 0.40 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07509,,,,NY,New York County,,Yes,,40.7108,-73.9781,6357,,7509,24,2,4,on park lawn,,11.2,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7108,-73.9781,Sandy,Debris,Poor: +/- 0.40 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07509,,,,NY,New York County,,Yes,,40.7108,-73.9781,6358,,7509,24,2,4,on grass hill in park,,10.9,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7108,-73.9781,Sandy,Seed line,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07509,,,,NY,New York County,,Yes,,40.7108,-73.9781,6359,,7509,24,5,3,on tree in park,,10.9,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7111,-73.9772,Sandy,Debris,Poor: +/- 0.40 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07510,,,,NY,New York County,,Yes,,40.7111,-73.9772,6360,,7510,24,2,4,on grass hill in park,,10.9,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7111,-73.9772,Sandy,Debris,Poor: +/- 0.40 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07510,,,,NY,New York County,,Yes,,40.7111,-73.9772,6361,,7510,24,2,4,on hill in park under tree,,11,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7111,-73.9772,Sandy,Debris,Fair: +/- 0.20 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07510,,,,NY,New York County,,Yes,,40.7111,-73.9772,6362,,7510,24,2,3,on park sidewalk,,10.9,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7164,-74.0161,Sandy,Debris,Poor: +/- 0.40 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07511,,,,NY,New York County,,Yes,,40.7164,-74.0161,6363,,7511,24,2,4,on grass,,10.9,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7164,-74.0167,Sandy,Stain line,Poor: +/- 0.40 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07511,,,,NY,New York County,,Yes,,40.7164,-74.0161,6364,,7511,24,6,4,on mulch,,10.9,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
40.7181,-74.0147,Sandy,Debris,Poor: +/- 0.40 ft,NAVD88,,,,Map (digital or paper),NAD83,Marie Peppler,,NYNEW07512,,,,NY,New York County,,Yes,,40.7181,-74.0147,6365,,7512,24,2,4,in garden,,11.3,2,,,,,,4,,,,10/30/2012 0:00,,2,36,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,,63
